video,gt
6265968082,"[""người đàn ông - mặc - quần jean"", ""người đàn ông - đeo - kính râm""]"
6329077812,"[""người phụ nữ - đang bế - em bé"", ""người phụ nữ - lấy - khăn ăn""]"
6356067859,"[""cô gái - mặc - đồ trắng"", ""cô gái - cho ngựa ăn - cỏ"", ""cô gái - cho ăn - ngựa""]"
6582763207,"[""người phụ nữ - chơi - nhạc cụ""]"
6624174621,"[""cô gái - ngồi cạnh - người phụ nữ""]"
6793786769,"[""người mặc đồ đen - đứng sau - cậu bé"", ""cậu bé - chơi với - tàu hỏa"", ""người mặc đồ đen - quan sát - cậu bé""]"
6895608152,"[""người phụ nữ - mặc - đồ trắng"", ""người phụ nữ - di chuyển_quanh - sân khấu"", ""người phụ nữ - nhảy - không xác định"", ""màn_biểu_diễn - là - ba_lê""]"
7001078933,"[""video - quay_tại - cánh đồng""]"
7149153537,"[""người đàn ông - giữ - em bé"", ""em bé - ở_trong - nước""]"
7164729910,"[""cậu bé - điều khiển - ô tô đồ chơi bằng cách xoay vô lăng""]"
7308042410,"[""cô gái - làm - gốm""]"
7416295940,"[""chó - lùi_lại - không_xác_định""]"
7499763064,"[""người đàn ông - điều chỉnh - dây nịt""]"
7508439506,"[""cậu_bé - bế - em_bé"", ""video - quay_tại - phòng ngủ""]"
7533369046,"[""video - quay_tại - nhà"", ""em bé - kéo - hộp trắng""]"
7786283208,"[""cô gái - đá - chân"", ""chân - lên - không trung""]"
8064178441,"[""em bé - ném đi - đồ chơi chim cánh cụt""]"
8107573462,"[""địa_điểm_này - là - cánh_đồng_tuyết""]"
8132842161,"[""người đàn ông mặc áo trắng - giữ_chặt - thanh ngang"", ""người đàn ông mặc áo trắng - nói - không rõ đối tượng""]"
8464056582,"[""em bé - bò đến - con chó"", ""chó - ngửi - đầu em bé""]"
8547321641,"[""video - có - một em bé""]"
8557532213,"[""cậu_bé_mặc_áo_vàng - đợi_bắt - bóng"", ""cậu_bé_mặc_áo_xanh - đá - bóng""]"
8740703217,"[""em bé - ăn - thức ăn""]"
8783897632,"[""người đi xe đạp nam - xuống xe - xe đạp"", ""người - đẩy - xe đạp"", ""xe đạp - xuống - dốc""]"
9082180631,"[""người phụ nữ mặc quần xanh - giám sát - trẻ em""]"
9088819598,"[""em bé - liếm - bóng"", ""em bé - di chuyển - cơ thể""]"
9213637099,"[""năm người - tham_gia - hoạt động""]"
9293415110,"[""mọi người phía sau - ngồi - trong khi cô gái - chơi - guitar""]"
9473479950,"[""người phụ nữ - dùng - bát"", ""bát - để_tránh_làm_bẩn - sàn""]"
9565310990,"[""em bé - chạm vào - vải""]"
9873067604,"[""cậu_bé - nói chuyện - không_xác_định""]"
10597533885,"[""em bé - chơi_với - đồ chơi""]"
11681746823,"[""em bé - cảm thấy - vui vẻ"", ""em bé - chơi với - người phụ nữ""]"
11871253306,"[""người đàn ông - chuyền - quả bóng cho đứa trẻ""]"
