file,question,answer
10597533885.csv,"Ngoài sách, có những loại đồ vật nào khác trên giá sách?",Trên giá sách còn có đồ chơi và một vài vật dụng khác.
10597533885.csv,Có bao nhiêu con thú nhồi bông có thể nhìn thấy?,Có thể nhìn thấy ít nhất hai con thú nhồi bông trong ảnh.
10597533885.csv,Có bao nhiêu cái kệ sách trong ảnh?,Có một cái kệ sách trong ảnh.
10597533885.csv,Đứa trẻ trong ảnh đang mặc áo màu gì?,Đứa trẻ trong ảnh đang mặc áo màu sáng.
10597533885.csv,Loại đồ chơi nào xuất hiện nhiều nhất trong ảnh?,Các khối xây dựng và thú nhồi bông xuất hiện nhiều trong ảnh.
10597533885.csv,Đứa trẻ đang chơi ở đâu trong phòng?,Đứa trẻ đang chơi trong một góc phòng.
10597533885.csv,"Ngoài sách và đồ chơi, có gì khác trong ảnh?","Ngoài sách và đồ chơi, còn có một chiếc giường tầng bằng gỗ hoặc một đơn vị kệ."
10597533885.csv,Trong ảnh có những loại đồ vật nào?,"Trong ảnh có đồ chơi, sách và một khung giường."
10597533885.csv,Đồ chơi được cất ở đâu?,Đồ chơi được cất trong hộp đựng và trên khung giường.
10597533885.csv,Đứa trẻ đang chơi với đồ chơi gì?,Đứa trẻ đang chơi với một món đồ chơi màu xanh lá cây và trắng.
10597533885.csv,Có bao nhiêu kệ sách có thể nhìn thấy trong ảnh?,Có một kệ sách có thể nhìn thấy trong ảnh.
10597533885.csv,Đứa trẻ đang đứng ở vị trí nào trong phòng?,Đứa trẻ đang đứng ở một góc phòng hoặc trong tủ quần áo.
10597533885.csv,Trên kệ sách có những đồ vật gì?,Trên kệ sách có nhiều sách.
10597533885.csv,Trong thùng chứa phía trước đứa trẻ có những loại đồ chơi nào?,Trong thùng chứa có thú nhồi bông và xe đồ chơi.
10597533885.csv,Đứa trẻ trong ảnh đang làm gì?,Đứa trẻ đang chơi với đồ chơi trên sàn nhà.
10597533885.csv,Có bao nhiêu kệ sách xuất hiện trong ảnh?,Có hai kệ sách xuất hiện trong ảnh.
10597533885.csv,Đồ chơi nào có thể nhìn thấy rõ nhất trong ảnh?,Gara đồ chơi và các đồ chơi bằng nhựa khác có thể nhìn thấy rõ nhất.
10597533885.csv,Vị trí của đứa trẻ so với rèm cửa là gì?,Đứa trẻ đang ở phía trước rèm cửa.
10597533885.csv,Có bao nhiêu thùng chứa đồ chơi có thể thấy trong ảnh?,Có một thùng chứa đồ chơi có thể thấy rõ trong ảnh.
10597533885.csv,Trong ảnh có bao nhiêu chiếc giường tầng?,Trong ảnh có một chiếc giường tầng.
10597533885.csv,Có những loại đồ vật nào được nhìn thấy trên kệ?,Trên kệ có sách và đồ chơi.
10597533885.csv,Những loại thú nhồi bông nào có trong thùng?,Có gấu bông và các loại thú nhồi bông khác trong thùng.
10597533885.csv,Đứa trẻ đang chơi với loại đồ chơi nào?,Đứa trẻ đang chơi với hộp đồ nghề đồ chơi.
10597533885.csv,Có bao nhiêu kệ sách có thể thấy trong ảnh?,Có một kệ sách có thể thấy trong ảnh.
10597533885.csv,Đứa trẻ trong ảnh đang làm gì?,Đứa trẻ có vẻ như đang chơi đồ chơi.
10597533885.csv,Có những loại đồ chơi nào có thể thấy trong ảnh?,"Có thể thấy thú nhồi bông, nhà để xe đồ chơi, và các đồ chơi nhựa khác."
10597533885.csv,Giường tầng trong ảnh được làm bằng chất liệu gì?,Giường tầng có vẻ được làm bằng gỗ.
10597533885.csv,Rèm cửa phía sau đứa trẻ có màu gì?,Rèm cửa có màu trắng.
10597533885.csv,Có những loại đồ vật nào có thể nhìn thấy trong ảnh?,"Có thể nhìn thấy sách, đồ chơi, thú nhồi bông, và giường (hoặc kệ)."
10597533885.csv,Giá sách nằm ở vị trí nào trong ảnh?,Giá sách nằm ở bên phải của ảnh.
10597533885.csv,Rèm cửa trong ảnh có họa tiết gì?,Rèm cửa trong ảnh có họa tiết hoa.
10597533885.csv,Bé đang làm gì trong ảnh?,Bé đang ngồi chơi với đồ chơi.
10597533885.csv,Trên kệ gỗ bên trái có những loại đồ chơi gì?,Trên kệ gỗ bên trái có thú nhồi bông và các đồ chơi khác.
10597533885.csv,Rèm cửa treo ở đâu?,Rèm cửa treo phía sau bé.
10597533885.csv,Bên cạnh bé có những loại đồ chơi nào?,"Bên cạnh bé có một hộp đựng đồ chơi, một bộ đồ chơi nhà xe và các đồ chơi khác."
10597533885.csv,Đứa trẻ trong ảnh đang làm gì?,Đứa trẻ có vẻ đang chơi với các khối xây dựng hoặc đồ chơi nhà.
10597533885.csv,Có những loại đồ vật nào trong phòng ngoài đồ chơi?,"Trong phòng còn có giường tầng, tủ sách và rèm cửa."
10597533885.csv,Những con vật nhồi bông nào có thể nhìn thấy trên giường tầng?,Có thể nhìn thấy một con búp bê mặc váy đỏ và một con gấu bông màu trắng.
10597533885.csv,Tủ sách có bao nhiêu ngăn chứa sách?,"Không thể xác định được số ngăn chính xác, nhưng tủ sách có nhiều ngăn chứa đầy sách."
10597533885.csv,Có bao nhiêu giá sách trong ảnh?,Có hai giá sách trong ảnh.
10597533885.csv,Đồ vật gì được chứa bên trong chiếc thùng màu trắng?,Thú nhồi bông được chứa bên trong chiếc thùng màu trắng.
10597533885.csv,Đứa trẻ có quay mặt về phía máy ảnh không?,"Không, đứa trẻ quay lưng về phía máy ảnh."
10597533885.csv,Ở phía sau đứa trẻ có vật gì?,"Ở phía sau đứa trẻ có một khu vực có rèm che, có thể là một tủ quần áo."
10597533885.csv,Có bao nhiêu kệ đựng đồ chơi trong ảnh?,Có hai kệ đựng đồ chơi trong ảnh.
10597533885.csv,Đứa trẻ đang làm gì?,Đứa trẻ đang ngồi chơi với đồ chơi.
10597533885.csv,Rèm cửa trong phòng có màu gì?,Rèm cửa trong phòng có màu trắng.
10597533885.csv,Kệ sách chứa những gì?,Kệ sách chứa sách.
10597533885.csv,Đồ chơi màu vàng có hình dạng gì?,Đồ chơi màu vàng có hình dạng gara.
10597533885.csv,Đứa trẻ đang đội mũ màu gì?,Đứa trẻ đang đội mũ màu đỏ.
10597533885.csv,Có bao nhiêu giá sách có thể nhìn thấy trong ảnh?,Có hai giá sách có thể nhìn thấy trong ảnh.
10597533885.csv,Loại đồ vật nào chiếm phần lớn trên giá sách bên phải?,Sách chiếm phần lớn trên giá sách bên phải.
10597533885.csv,Có những loại đồ chơi nào trong ảnh?,"Trong ảnh có thú nhồi bông, đồ chơi bằng gỗ và các loại đồ chơi khác."
10597533885.csv,Tấm rèm cửa có họa tiết gì?,Tấm rèm cửa có họa tiết hoa lá và bướm.
10597533885.csv,Có những loại đồ chơi nào trong bức ảnh?,"Có thú nhồi bông, búp bê, đồ chơi xây dựng và một bộ đồ chơi công cụ."
10597533885.csv,Đứa trẻ đang ngồi ở đâu trong phòng?,Đứa trẻ đang ngồi trên sàn nhà.
10597533885.csv,Có bao nhiêu giá sách trong bức ảnh?,Có một giá sách.
10597533885.csv,Những cuốn sách trên giá có màu sắc như thế nào?,Những cuốn sách có nhiều màu sắc khác nhau.
10597533885.csv,Đứa trẻ trong ảnh đang làm gì?,Đứa trẻ đang chơi với một cái máy tính tiền đồ chơi.
10597533885.csv,Có những loại đồ chơi nào được nhìn thấy trong ảnh?,"Có thú nhồi bông, máy tính tiền đồ chơi, sách, và nhà để xe đồ chơi."
10597533885.csv,Rèm cửa phía sau đứa trẻ có họa tiết gì?,Rèm cửa có họa tiết cây cối và bướm.
10597533885.csv,Đứa trẻ đang đội mũ màu gì?,Đứa trẻ đang đội mũ màu cam.
10597533885.csv,Có bao nhiêu đồ chơi nhồi bông được nhìn thấy trên kệ gỗ?,Có ít nhất hai đồ chơi nhồi bông được nhìn thấy trên kệ gỗ.
10597533885.csv,Đồ chơi nào có hình trái tim màu hồng?,Con gấu bông có hình trái tim màu hồng.
10597533885.csv,Đứa trẻ đang chơi với đồ chơi gì?,Đứa trẻ đang chơi với máy tính tiền đồ chơi hoặc bộ đồ chơi tương tự.
10597533885.csv,Giá sách chứa những đồ vật gì?,Giá sách chứa nhiều sách.
10597533885.csv,Có những loại đồ vật nào trong ảnh?,"Trong ảnh có sách, đồ chơi, thú nhồi bông, kệ và rèm cửa."
10597533885.csv,Đồ chơi chủ yếu được đặt ở đâu?,"Đồ chơi được đặt trên kệ, trong thùng và xung quanh đứa trẻ."
10597533885.csv,Có bao nhiêu kệ trong ảnh?,Có hai kệ trong ảnh.
10597533885.csv,Rèm cửa có họa tiết gì?,Rèm cửa có họa tiết hoa và hình bướm.
10597533885.csv,Đứa trẻ đang chơi với loại đồ chơi nào?,Đứa trẻ đang chơi với một loại đồ chơi màu xanh lá cây và trắng.
10597533885.csv,Tấm rèm treo ở đâu trong phòng?,Tấm rèm treo phía sau đứa trẻ.
10597533885.csv,Có những loại đồ vật nào được lưu trữ trong thùng?,Trong thùng có thú nhồi bông và các đồ chơi khác.
10597533885.csv,Con búp bê nằm ở đâu?,Con búp bê nằm trên kệ sách phía bên trái.
10597533885.csv,Đứa trẻ đang chơi gì?,Đứa trẻ dường như đang chơi với các khối xây dựng.
10597533885.csv,Có bao nhiêu con búp bê sọc trên kệ?,Có một con búp bê sọc trên kệ.
10597533885.csv,Rèm cửa có họa tiết gì?,Rèm cửa có họa tiết hoa và bọ rùa.
10597533885.csv,"Ngoài sách, còn đồ vật gì trên kệ sách?",Có một đồ vật hình khối màu vàng trên kệ sách.
10597533885.csv,Đứa trẻ đang quay mặt về hướng nào so với máy ảnh?,Đứa trẻ đang quay lưng lại với máy ảnh.
10597533885.csv,Có bao nhiêu kệ sách được nhìn thấy trong ảnh?,Có hai kệ sách được nhìn thấy trong ảnh.
10597533885.csv,Loại đồ chơi nào nằm trong hộp trắng?,Trong hộp trắng có một con gấu bông màu hồng và một con gấu bông màu kem.
10597533885.csv,Tấm rèm phía sau đứa trẻ có hoa văn gì?,Tấm rèm phía sau đứa trẻ có hoa văn hoa.
10597533885.csv,Có bao nhiêu đồ chơi có thể nhận diện được bên cạnh chiếc kệ sách chứa đầy sách?,Có 2 đồ chơi có thể nhận diện được bên cạnh chiếc kệ sách chứa đầy sách (một ngôi nhà đồ chơi và một trò chơi có số).
10597533885.csv,Có những loại đồ chơi nào trong ảnh?,"Có nhà đồ chơi, búp bê, sách và nhiều loại đồ chơi khác."
10597533885.csv,Đứa trẻ đang đứng ở đâu?,Đứa trẻ đang đứng giữa hai kệ sách.
10597533885.csv,Trên tường có gì?,Trên tường có rèm cửa có hoa văn hoa.
10597533885.csv,Trong ảnh có bao nhiêu giá sách?,Trong ảnh có hai giá sách.
10597533885.csv,Đứa trẻ trong ảnh đang làm gì?,Đứa trẻ có vẻ đang chơi với đồ chơi.
10597533885.csv,Có những loại đồ chơi nào được nhìn thấy trong ảnh?,"Có thể thấy thú nhồi bông, sách và các loại đồ chơi lắp ráp khác."
10597533885.csv,Vị trí của thùng đựng đồ chơi màu trắng so với đứa trẻ là gì?,Thùng đựng đồ chơi màu trắng ở phía trước đứa trẻ.
10597533885.csv,Rèm cửa trong ảnh có họa tiết gì?,Rèm cửa trong ảnh có họa tiết hình hoa và bướm.
10597533885.csv,Đứa trẻ đang làm gì?,Đứa trẻ đang chơi đồ chơi.
10597533885.csv,Có loại đồ chơi nhồi bông nào trong ảnh?,"Có, có một vài đồ chơi nhồi bông trong ảnh."
10597533885.csv,Có rèm cửa ở đâu trong ảnh?,"Rèm cửa ở phía sau, giữa hai giá sách."
10597533885.csv,Đứa trẻ trong ảnh đang làm gì?,Đứa trẻ dường như đang chơi với một món đồ chơi kiểu cổ điển.
10597533885.csv,Có những loại đồ vật nào trên kệ bên trái?,"Trên kệ bên trái có thú nhồi bông, đồ chơi và một hộp đầy màu sắc với các chấm bi."
10597533885.csv,Những gì được tìm thấy trên giá sách bên phải?,Giá sách bên phải chứa rất nhiều sách.
10597533885.csv,Có rèm cửa không và họa tiết của nó là gì?,Có một tấm rèm cửa có họa tiết hoa.
10597533885.csv,Có bao nhiêu kệ sách trong ảnh?,Có hai kệ sách: một ở bên trái và một ở bên phải.
10597533885.csv,Đứa trẻ đang làm gì?,Đứa trẻ đang ngồi chơi trong phòng.
10597533885.csv,Có những loại đồ chơi nào trong ảnh?,"Trong ảnh có nhà đồ chơi, khối xếp hình, trống và thú nhồi bông."
10597533885.csv,Đứa trẻ đang nhìn vào đâu?,"Đứa trẻ đang nhìn vào một không gian nhỏ có rèm cửa họa tiết, có thể là bên trong tủ quần áo."
10597533885.csv,Có bao nhiêu cuốn sách trên giá sách bên phải?,Có rất nhiều cuốn sách trên giá sách bên phải.
10597533885.csv,Có những loại đồ vật nào trong phòng?,"Trong phòng có đồ chơi, sách và kệ."
10597533885.csv,"Ngoài thú nhồi bông, có những loại đồ chơi nào khác có thể thấy?",Có thể thấy một đồ chơi màu vàng với các phần màu sắc.
10597533885.csv,Có bao nhiêu giá/kệ trong ảnh?,Có hai kệ/giá trong ảnh.
